NOMBRE EST.,BIC. DISPONIBLES,DIR.
66dbf288-0aca-11e7-82f6-3863bb44ef7c,24,406
66dbcd6c-0aca-11e7-82f6-3863bb44ef7c,36,366
ca843847-923a-40b7-80ca-c1c3fff6e818,9,4495
56b3ca32-104a-4920-a879-a97a820858c4,20,3599
66dd01c5-0aca-11e7-82f6-3863bb44ef7c,15,3092
1917312704757770810,9,1917312704757770810
c638ec67-9ac0-416f-944f-619926144931,2,4675
53ef19c6-eaa7-47f7-807e-f51b574b1be0,6,4461
66de2274-0aca-11e7-82f6-3863bb44ef7c,18,3370
1828965347681089818,28,1828965347681089818
912813fc-fde4-4430-8443-a4fa21477e7f,4,4056
54df610f-0e47-4958-98ca-37bb1b1c4dca,6,4013
ceb179f3-89c3-4c3e-8a0a-3415406a9463,2,4067
66dcc37f-0aca-11e7-82f6-3863bb44ef7c,35,3055
922763d6-d73c-4678-8bcd-f42ee3a236db,8,5033
66dc7ba2-0aca-11e7-82f6-3863bb44ef7c,43,511
1898751402035634700,25,1898751402035634700
66dbe571-0aca-11e7-82f6-3863bb44ef7c,35,380
cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,8,4131
66dcbac5-0aca-11e7-82f6-3863bb44ef7c,7,3043
66dde4ef-0aca-11e7-82f6-3863bb44ef7c,27,3293
00967b8f-1a4d-4131-a65a-17fa8ca89e28,10,4815
66de205d-0aca-11e7-82f6-3863bb44ef7c,4,3365
b4f990dd-36bb-46b3-9eea-4b980bd43c2d,1,4557
cd2d9dab-7708-4685-a56f-9412c738de7e,22,5063
d265dbc7-ef55-4f5b-8a2b-f2015dc71fb8,14,3566
640a9a95-194f-42f5-8d88-1df67129f388,31,4176
f401cd5f-cb41-41f8-a857-4a4dfe778f94,35,3860
7a1ad7c0-4958-4354-91a1-11bf13348abd,16,4865
b442a648-e9f4-4893-951a-64d258bc0e55,21,3699
66dd24ca-0aca-11e7-82f6-3863bb44ef7c,28,3123
1799624430022654108,18,1799624430022654108
645e4365-653f-48ce-bc15-5fcc287be56f,65,4699
4efda436-cd19-4ec3-acc7-1a622f723264,7,4908
faf98f78-51ab-4248-b7e7-f402902385a6,11,4828
a45a712c-1e3d-4fee-bef8-adafafd80670,23,4807
19b61564-7629-41b4-80c8-1756135a5442,12,4031
66db93a1-0aca-11e7-82f6-3863bb44ef7c,49,332
1828965172312150882,26,1828965172312150882
16e70b05-5b73-4930-9dcf-f79e5ce9eaf5,18,4422
66dc3e89-0aca-11e7-82f6-3863bb44ef7c,27,476
6fb81fda-f0b5-4242-90f9-88d0214feb8d,24,4786
1869753484503987044,18,1869753484503987044
42c3bb6e-0478-4e4a-af10-151f5f4dffb9,17,4829
66db41bf-0aca-11e7-82f6-3863bb44ef7c,11,252
1794852638057746848,15,1794852638057746848
f5393bc2-36d4-4508-bf51-fa48d121f751,34,4821
78aabb95-6195-4aa7-ab0d-5748eeb26bd1,6,3866
